titulo,endereco,preco,area,quartos,banheiros,vagas,bairro,latitude,longitude
Apartamento em Contorno,"Rua Paula Xavier, 1693 - Contorno",84139,45,1,1,0,Contorno,-25.114039240737096,-50.20071414399405
Apartamento em Boa Vista,"Av. Carlos Cavalcanti, 2353 - Boa Vista",111177,47,1,1,0,Boa Vista,-25.055896337610392,-50.16013223475263
Apartamento em Santa Paula,"Rua Paula Xavier, 1660 - Santa Paula",62326,68,3,1,1,Santa Paula,-25.129337944859294,-50.17737914959375
Apartamento em Jardim Carvalho,"Rua Comendador Miró, 2851 - Jardim Carvalho",335697,99,3,2,1,Jardim Carvalho,-25.072146531400726,-50.158390626606604
Apartamento em Jardim America,"Rua Paula Xavier, 2838 - Jardim America",170529,41,2,1,0,Jardim America,-25.107753851823734,-50.13367814666043
Apartamento em Ronda,"Av. Carlos Cavalcanti, 1110 - Ronda",23788,50,3,1,1,Ronda,-25.101514487340275,-50.18639644889345
Apartamento em Chapada,"Rua Paula Xavier, 1283 - Chapada",331315,98,4,2,1,Chapada,-25.041519012461077,-50.1730834225191
Apartamento em Boa Vista,"Rua Comendador Miró, 2815 - Boa Vista",95530,63,2,1,1,Boa Vista,-25.053630072534904,-50.15770475950636
Apartamento em Nova Russia,"Av. Vicente Machado, 560 - Nova Russia",110643,52,2,1,1,Nova Russia,-25.078505296322206,-50.177422719642855
Apartamento em Contorno,"Av. Carlos Cavalcanti, 1324 - Contorno",156926,34,1,1,0,Contorno,-25.12496621732745,-50.2009810397549
Apartamento em Boa Vista,"Rua do Rosario, 2654 - Boa Vista",167585,62,2,1,1,Boa Vista,-25.059531189761532,-50.160442293052725
Apartamento em Uvaranas,"Av. Vicente Machado, 1677 - Uvaranas",188643,56,3,1,1,Uvaranas,-25.080150896917683,-50.12968472520537
Apartamento em Santa Paula,"Rua Paula Xavier, 240 - Santa Paula",131829,48,1,1,0,Santa Paula,-25.128863848305514,-50.17836436908475
Apartamento em Jardim Sabara,"Rua Balduino Taques, 1284 - Jardim Sabara",133049,49,1,1,0,Jardim Sabara,-25.042741929962343,-50.176579602387115
Apartamento em Jardim Sabara,"Rua do Rosario, 2339 - Jardim Sabara",143868,48,1,1,0,Jardim Sabara,-25.049574507025554,-50.17278623277478
Apartamento em Centro,"Av. Vicente Machado, 246 - Centro",489777,88,3,2,1,Centro,-25.094498045013154,-50.167328105758706
Apartamento em Ronda,"Rua Balduino Taques, 1486 - Ronda",180244,53,3,1,1,Ronda,-25.101264376266673,-50.18342820824867
Apartamento em Orfãs,"Av. Carlos Cavalcanti, 2078 - Orfãs",167515,97,3,2,1,Orfãs,-25.066478890257162,-50.17137537740648
Apartamento em Jardim America,"Rua Balduino Taques, 2800 - Jardim America",78118,44,1,1,0,Jardim America,-25.115364000069754,-50.13442719905743
Apartamento em Centro,"Rua do Rosario, 1837 - Centro",636508,155,4,3,2,Centro,-25.08650368498431,-50.16669754017158
Apartamento em Estrela,"Rua Paula Xavier, 1420 - Estrela",231935,170,5,3,2,Estrela,-25.107786649332567,-50.155198510722784
Apartamento em Estrela,"Rua Paula Xavier, 2831 - Estrela",323480,71,2,2,1,Estrela,-25.109024732773612,-50.15092168623575
Apartamento em Uvaranas,"Av. Carlos Cavalcanti, 213 - Uvaranas",144909,59,2,1,1,Uvaranas,-25.086303035545054,-50.13229927672424
Apartamento em Estrela,"Av. Vicente Machado, 916 - Estrela",321689,80,2,2,1,Estrela,-25.103105209962845,-50.159078087616194
Apartamento em Ronda,"Rua Paula Xavier, 2678 - Ronda",164891,56,2,1,1,Ronda,-25.094190820304288,-50.18411711407347
Apartamento em Vila Estrela,"Rua Comendador Miró, 46 - Vila Estrela",395135,84,2,2,1,Vila Estrela,-25.11240151708523,-50.15444045740219
Apartamento em Santa Paula,"Rua Comendador Miró, 719 - Santa Paula",178149,76,2,2,1,Santa Paula,-25.12811337735028,-50.18250825426371
Apartamento em Centro,"Rua do Rosario, 1261 - Centro",176710,30,1,1,0,Centro,-25.093607162117443,-50.16353078868725
Apartamento em Boa Vista,"Av. Carlos Cavalcanti, 1438 - Boa Vista",172409,57,2,1,1,Boa Vista,-25.059499217941195,-50.158792086799444
Apartamento em Santo Antonio,"Av. Carlos Cavalcanti, 1247 - Santo Antonio",119281,48,1,1,0,Santo Antonio,-25.062967513226827,-50.11398542115365
Apartamento em Jardim Sabara,"Av. Carlos Cavalcanti, 2404 - Jardim Sabara",244748,72,2,2,1,Jardim Sabara,-25.040343333687908,-50.176615794374584
Apartamento em Nova Russia,"Rua Comendador Miró, 1542 - Nova Russia",114783,61,3,1,1,Nova Russia,-25.07614850164504,-50.17607723116219
Apartamento em Olarias,"Rua do Rosario, 1167 - Olarias",62016,36,1,1,0,Olarias,-25.096730362140928,-50.14361303326859
Apartamento em Contorno,"Av. Carlos Cavalcanti, 271 - Contorno",139903,70,2,2,1,Contorno,-25.12497831362865,-50.20090844763366
Apartamento em Neves,"Rua Comendador Miró, 1341 - Neves",205537,63,2,1,1,Neves,-25.0487652504175,-50.13829286687775
Apartamento em Boa Vista,"Rua Comendador Miró, 2678 - Boa Vista",194044,63,2,1,1,Boa Vista,-25.06446233411775,-50.16217465404878
Apartamento em Contorno,"Rua do Rosario, 994 - Contorno",123182,62,3,1,1,Contorno,-25.117268804314374,-50.20159940952459
Apartamento em Oficinas,"Rua do Rosario, 1665 - Oficinas",356933,83,2,2,1,Oficinas,-25.1095759363895,-50.14506576708136
Apartamento em Neves,"Rua Comendador Miró, 114 - Neves",231225,67,2,1,1,Neves,-25.0510554066738,-50.139305057970404
Apartamento em Santa Paula,"Rua Paula Xavier, 1724 - Santa Paula",208586,75,2,2,1,Santa Paula,-25.129261630285974,-50.17958813886747
Apartamento em Jardim America,"Rua Balduino Taques, 2398 - Jardim America",101630,41,1,1,0,Jardim America,-25.110761705282286,-50.135334300184724
Apartamento em Orfãs,"Rua Comendador Miró, 920 - Orfãs",176857,53,2,1,1,Orfãs,-25.074228844517144,-50.171812692778836
Apartamento em Olarias,"Av. Carlos Cavalcanti, 2761 - Olarias",101912,52,2,1,1,Olarias,-25.101824286990816,-50.14108124211877
Apartamento em Chapada,"Av. Vicente Machado, 2703 - Chapada",91437,49,1,1,0,Chapada,-25.044476268762935,-50.17343475163941
Apartamento em Olarias,"Rua Balduino Taques, 1938 - Olarias",57136,58,3,1,1,Olarias,-25.098501510531452,-50.14428692619886
Apartamento em Jardim Carvalho,"Rua Comendador Miró, 2299 - Jardim Carvalho",320115,64,2,1,1,Jardim Carvalho,-25.072285286392372,-50.15454933158516
Apartamento em Estrela,"Rua Paula Xavier, 2690 - Estrela",366013,88,2,2,1,Estrela,-25.104061285495114,-50.158313487923635
Apartamento em Uvaranas,"Av. Vicente Machado, 1267 - Uvaranas",52199,43,1,1,0,Uvaranas,-25.090826041912862,-50.1363198889934
Apartamento em Vila Estrela,"Rua Paula Xavier, 1532 - Vila Estrela",234623,61,2,1,1,Vila Estrela,-25.11526651911534,-50.15287767704516
Apartamento em Boa Vista,"Av. Carlos Cavalcanti, 492 - Boa Vista",161342,51,2,1,1,Boa Vista,-25.059949883011235,-50.16482403510201
Apartamento em Santa Paula,"Rua Comendador Miró, 2400 - Santa Paula",68651,30,2,1,0,Santa Paula,-25.128045758665383,-50.17486164591298
Apartamento em Uvaranas,"Av. Vicente Machado, 2059 - Uvaranas",111308,37,1,1,0,Uvaranas,-25.092383291900276,-50.12903577014436
Apartamento em Nova Russia,"Av. Carlos Cavalcanti, 2180 - Nova Russia",150328,59,2,1,1,Nova Russia,-25.07701025831681,-50.183081239878014
Apartamento em Contorno,"Av. Vicente Machado, 572 - Contorno",129186,36,1,1,0,Contorno,-25.12332285862793,-50.20148153657415
Apartamento em Orfãs,"Rua do Rosario, 1884 - Orfãs",33634,70,2,2,1,Orfãs,-25.063874581532833,-50.16565281671383
Apartamento em Jardim Carvalho,"Rua Comendador Miró, 748 - Jardim Carvalho",1132012,147,3,3,2,Jardim Carvalho,-25.075112887839552,-50.15360245865342
Apartamento em Uvaranas,"Rua Comendador Miró, 734 - Uvaranas",125383,47,1,1,0,Uvaranas,-25.085666220590614,-50.1341394057356
Apartamento em Neves,"Rua Balduino Taques, 1861 - Neves",125827,40,1,1,0,Neves,-25.044940544668137,-50.14150356874212
Apartamento em Boa Vista,"Av. Vicente Machado, 2370 - Boa Vista",181508,63,2,1,1,Boa Vista,-25.06012714351569,-50.15359235920251
Apartamento em Estrela,"Rua Balduino Taques, 540 - Estrela",693151,152,5,3,2,Estrela,-25.103933188787465,-50.1574785037879
Apartamento em Vila Estrela,"Av. Carlos Cavalcanti, 1767 - Vila Estrela",407969,73,2,2,1,Vila Estrela,-25.11485728750771,-50.14593492693047
Apartamento em Santa Paula,"Rua Balduino Taques, 2196 - Santa Paula",79345,32,1,1,0,Santa Paula,-25.128124527069705,-50.183684099514
Apartamento em Orfãs,"Rua Balduino Taques, 1329 - Orfãs",162706,58,2,1,1,Orfãs,-25.07198063074223,-50.169323266057575
Apartamento em Jardim Sabara,"Rua Comendador Miró, 26 - Jardim Sabara",118601,57,3,1,1,Jardim Sabara,-25.04207227159047,-50.17111830130024
Apartamento em Ronda,"Rua Paula Xavier, 1288 - Ronda",139996,76,2,2,1,Ronda,-25.102698084133614,-50.185045606818875
Apartamento em Jardim Carvalho,"Rua do Rosario, 2421 - Jardim Carvalho",445027,89,3,2,1,Jardim Carvalho,-25.071303524020657,-50.16081921123223
Apartamento em Contorno,"Rua Balduino Taques, 1231 - Contorno",127548,57,3,1,1,Contorno,-25.114750950840474,-50.20176152997485
Apartamento em Contorno,"Rua do Rosario, 2452 - Contorno",132723,42,1,1,0,Contorno,-25.121403832200638,-50.19783864368501
Apartamento em Jardim Sabara,"Rua Comendador Miró, 558 - Jardim Sabara",96701,49,1,1,0,Jardim Sabara,-25.039255506027924,-50.17298370593042
Apartamento em Neves,"Av. Carlos Cavalcanti, 1481 - Neves",59778,42,1,1,0,Neves,-25.052320022605613,-50.13754453162717
Apartamento em Orfãs,"Av. Carlos Cavalcanti, 88 - Orfãs",260045,86,3,2,1,Orfãs,-25.072311946531215,-50.170692513095446
Apartamento em Ronda,"Av. Vicente Machado, 875 - Ronda",154472,57,2,1,1,Ronda,-25.102023513831966,-50.18671086811712
Apartamento em Centro,"Av. Vicente Machado, 514 - Centro",533489,85,2,2,1,Centro,-25.088299381961356,-50.16678295721986
Apartamento em Chapada,"Rua Balduino Taques, 1546 - Chapada",146243,52,2,1,1,Chapada,-25.037390339022863,-50.17235080045122
Apartamento em Boa Vista,"Rua do Rosario, 209 - Boa Vista",122053,45,1,1,0,Boa Vista,-25.055822632156765,-50.15671174363036
Apartamento em Oficinas,"Rua Comendador Miró, 90 - Oficinas",67915,64,2,1,1,Oficinas,-25.11453045412603,-50.148697029346636
Apartamento em Oficinas,"Av. Carlos Cavalcanti, 1829 - Oficinas",433201,88,2,2,1,Oficinas,-25.115136919291096,-50.14216508452309
Apartamento em Jardim America,"Rua Paula Xavier, 1953 - Jardim America",258513,79,3,2,1,Jardim America,-25.105200943675932,-50.13222220563656
Apartamento em Jardim Carvalho,"Rua Comendador Miró, 2591 - Jardim Carvalho",497899,97,3,2,1,Jardim Carvalho,-25.07390783145972,-50.157284850351914
Apartamento em Centro,"Rua Comendador Miró, 423 - Centro",321808,79,2,2,1,Centro,-25.094417493963398,-50.16736595783629
Apartamento em Jardim Sabara,"Rua do Rosario, 2880 - Jardim Sabara",233424,78,2,2,1,Jardim Sabara,-25.04273522383106,-50.174346394459974
Apartamento em Jardim Carvalho,"Rua Balduino Taques, 2105 - Jardim Carvalho",359312,75,2,2,1,Jardim Carvalho,-25.07957208547015,-50.15299953945519
Apartamento em Nova Russia,"Rua Balduino Taques, 2048 - Nova Russia",162527,65,2,1,1,Nova Russia,-25.074153328296315,-50.178707753031794
Apartamento em Orfãs,"Rua Paula Xavier, 2152 - Orfãs",67852,33,1,1,0,Orfãs,-25.071788200923844,-50.16840951656207
Apartamento em Orfãs,"Av. Carlos Cavalcanti, 1219 - Orfãs",135675,46,1,1,0,Orfãs,-25.078925918018307,-50.17233683303512
Apartamento em Estrela,"Av. Carlos Cavalcanti, 860 - Estrela",188487,63,3,1,1,Estrela,-25.10195223041746,-50.153604983802914
Apartamento em Santa Paula,"Rua Balduino Taques, 62 - Santa Paula",179541,84,2,2,1,Santa Paula,-25.130152067276452,-50.1762326209699
Apartamento em Uvaranas,"Rua do Rosario, 2750 - Uvaranas",162922,59,2,1,1,Uvaranas,-25.087773628816386,-50.13398255246204
Apartamento em Santa Paula,"Rua Balduino Taques, 2105 - Santa Paula",113915,38,2,1,0,Santa Paula,-25.126107166493195,-50.18371043580362
Apartamento em Uvaranas,"Rua Balduino Taques, 1058 - Uvaranas",176558,53,2,1,1,Uvaranas,-25.081331497280154,-50.131308997082556
Apartamento em Ronda,"Rua Paula Xavier, 1091 - Ronda",118418,39,1,1,0,Ronda,-25.097468423565136,-50.18451351316586
Apartamento em Santo Antonio,"Av. Vicente Machado, 171 - Santo Antonio",86732,69,3,1,1,Santo Antonio,-25.063412157761054,-50.11907059614083
Apartamento em Contorno,"Rua Comendador Miró, 1290 - Contorno",114846,41,1,1,0,Contorno,-25.121209538509746,-50.19837060938543
Apartamento em Vila Estrela,"Rua Balduino Taques, 197 - Vila Estrela",521066,141,3,3,2,Vila Estrela,-25.107479185820527,-50.15022718140222
Apartamento em Centro,"Av. Vicente Machado, 1356 - Centro",556347,173,4,3,2,Centro,-25.096751553958853,-50.166256073530455
Apartamento em Chapada,"Rua do Rosario, 1108 - Chapada",117447,66,2,1,1,Chapada,-25.038261262230673,-50.16714797272024
Apartamento em Uvaranas,"Rua Paula Xavier, 759 - Uvaranas",145411,65,2,1,1,Uvaranas,-25.081335836244314,-50.13428603614876
Apartamento em Nova Russia,"Av. Carlos Cavalcanti, 1123 - Nova Russia",105300,51,2,1,1,Nova Russia,-25.08085899346369,-50.17788943809839
Apartamento em Jardim America,"Av. Carlos Cavalcanti, 1737 - Jardim America",101309,40,1,1,0,Jardim America,-25.107069903334104,-50.13444008698251
Apartamento em Estrela,"Rua Comendador Miró, 2985 - Estrela",241726,57,3,1,1,Estrela,-25.107715000196496,-50.158019688244615
Apartamento em Oficinas,"Av. Vicente Machado, 434 - Oficinas",160298,49,1,1,0,Oficinas,-25.113471216281944,-50.145590236326164
Apartamento em Vila Estrela,"Av. Carlos Cavalcanti, 2340 - Vila Estrela",95989,83,2,2,1,Vila Estrela,-25.11182061710401,-50.148734074194024
Apartamento em Santo Antonio,"Av. Carlos Cavalcanti, 1478 - Santo Antonio",305676,69,3,1,1,Santo Antonio,-25.060239818857543,-50.11830970107966
Apartamento em Centro,"Rua Comendador Miró, 545 - Centro",402659,81,2,2,1,Centro,-25.088655560243634,-50.168893900949115
Apartamento em Santa Paula,"Rua Balduino Taques, 1694 - Santa Paula",161150,64,2,1,1,Santa Paula,-25.12866240243039,-50.17858626013241
Apartamento em Santo Antonio,"Rua Paula Xavier, 2692 - Santo Antonio",118206,76,3,2,1,Santo Antonio,-25.058330556383613,-50.12197229101546
Apartamento em Neves,"Rua Comendador Miró, 2159 - Neves",205844,67,3,1,1,Neves,-25.05245044603064,-50.139764536343776
Apartamento em Ronda,"Rua Comendador Miró, 1395 - Ronda",153942,54,2,1,1,Ronda,-25.09363134957186,-50.189055983066375
Apartamento em Jardim Sabara,"Rua Comendador Miró, 2542 - Jardim Sabara",197488,65,2,1,1,Jardim Sabara,-25.043740859630894,-50.1763666333271
Apartamento em Nova Russia,"Rua Comendador Miró, 1028 - Nova Russia",99754,45,1,1,0,Nova Russia,-25.075650112715458,-50.17966782752585
Apartamento em Santa Paula,"Rua Comendador Miró, 2637 - Santa Paula",222007,86,2,2,1,Santa Paula,-25.133449607008323,-50.17629272518201
Apartamento em Jardim America,"Rua do Rosario, 2520 - Jardim America",52805,35,2,1,0,Jardim America,-25.10980711324394,-50.13592074950525
Apartamento em Oficinas,"Av. Vicente Machado, 2080 - Oficinas",245538,67,3,1,1,Oficinas,-25.113327460198445,-50.1501533982957
Apartamento em Santa Paula,"Av. Vicente Machado, 316 - Santa Paula",153043,58,2,1,1,Santa Paula,-25.13249301692669,-50.18348389869881
Apartamento em Santa Paula,"Rua Paula Xavier, 1149 - Santa Paula",197322,85,2,2,1,Santa Paula,-25.13191765081793,-50.17688921496345
Apartamento em Oficinas,"Rua do Rosario, 2645 - Oficinas",98752,52,2,1,1,Oficinas,-25.11672428991848,-50.14383970946574
Apartamento em Jardim America,"Av. Vicente Machado, 332 - Jardim America",79774,33,1,1,0,Jardim America,-25.106384246662554,-50.13036869911945
Apartamento em Santo Antonio,"Rua do Rosario, 1845 - Santo Antonio",209979,89,2,2,1,Santo Antonio,-25.06091783729405,-50.11846777471625
Apartamento em Uvaranas,"Av. Carlos Cavalcanti, 1304 - Uvaranas",145969,58,2,1,1,Uvaranas,-25.093297864913414,-50.13344806759372
Apartamento em Nova Russia,"Rua Comendador Miró, 2686 - Nova Russia",67134,45,1,1,0,Nova Russia,-25.081535259158354,-50.17673123453239
Apartamento em Centro,"Av. Carlos Cavalcanti, 156 - Centro",350539,79,3,2,1,Centro,-25.095393361567492,-50.168902201674605
Apartamento em Olarias,"Rua Balduino Taques, 2484 - Olarias",225620,64,2,1,1,Olarias,-25.10377555551349,-50.13718039296767
Apartamento em Contorno,"Rua do Rosario, 857 - Contorno",93428,58,2,1,1,Contorno,-25.12014250967723,-50.20203048931773
Apartamento em Santo Antonio,"Rua Paula Xavier, 232 - Santo Antonio",220291,76,2,2,1,Santo Antonio,-25.059242085290254,-50.12312267094685
Apartamento em Ronda,"Rua Paula Xavier, 2304 - Ronda",150577,40,1,1,0,Ronda,-25.10475938809566,-50.18284296983284
Apartamento em Santa Paula,"Rua Paula Xavier, 2942 - Santa Paula",68498,37,1,1,0,Santa Paula,-25.130863369146372,-50.17611335189296
Apartamento em Santo Antonio,"Rua Comendador Miró, 918 - Santo Antonio",143392,62,3,1,1,Santo Antonio,-25.055608247240613,-50.11795077873715
Apartamento em Centro,"Rua Comendador Miró, 1205 - Centro",563847,87,2,2,1,Centro,-25.093389236133383,-50.1653249636272
Apartamento em Olarias,"Rua Comendador Miró, 445 - Olarias",127914,57,2,1,1,Olarias,-25.10096969262979,-50.13475382717615
Apartamento em Oficinas,"Av. Carlos Cavalcanti, 585 - Oficinas",330442,124,3,3,2,Oficinas,-25.109422962138567,-50.145760202594694
Apartamento em Vila Estrela,"Rua do Rosario, 812 - Vila Estrela",248496,96,4,2,1,Vila Estrela,-25.111295524887797,-50.15579785195848
Apartamento em Orfãs,"Av. Carlos Cavalcanti, 893 - Orfãs",364558,66,3,1,1,Orfãs,-25.066940123770756,-50.17366681803874
Apartamento em Santo Antonio,"Av. Vicente Machado, 2945 - Santo Antonio",115050,49,1,1,0,Santo Antonio,-25.0616368333531,-50.11519719313262
Apartamento em Neves,"Av. Carlos Cavalcanti, 200 - Neves",193166,82,3,2,1,Neves,-25.04954035274875,-50.140975848330726
Apartamento em Nova Russia,"Av. Carlos Cavalcanti, 1883 - Nova Russia",62823,86,2,2,1,Nova Russia,-25.08238086429153,-50.18330449360846
Apartamento em Jardim Sabara,"Av. Carlos Cavalcanti, 27 - Jardim Sabara",68041,50,3,1,1,Jardim Sabara,-25.050125863348438,-50.168745844479204
Apartamento em Jardim Sabara,"Rua do Rosario, 1782 - Jardim Sabara",140179,65,2,1,1,Jardim Sabara,-25.042962295861212,-50.172408965275345
Apartamento em Santa Paula,"Av. Vicente Machado, 2843 - Santa Paula",75733,62,2,1,1,Santa Paula,-25.12885705783636,-50.17076438010611
Apartamento em Estrela,"Av. Vicente Machado, 434 - Estrela",243069,44,1,1,0,Estrela,-25.108657835778928,-50.15351248585156
Apartamento em Jardim America,"Rua do Rosario, 1328 - Jardim America",116677,44,1,1,0,Jardim America,-25.11100293185111,-50.134516473982494
Apartamento em Jardim Sabara,"Av. Carlos Cavalcanti, 2504 - Jardim Sabara",153398,54,2,1,1,Jardim Sabara,-25.045579449918097,-50.17343007056474
Apartamento em Ronda,"Rua Paula Xavier, 1214 - Ronda",125169,63,2,1,1,Ronda,-25.09810333700871,-50.186781378328554
Apartamento em Santo Antonio,"Av. Vicente Machado, 1700 - Santo Antonio",201117,51,2,1,1,Santo Antonio,-25.059840901834512,-50.117742724934644
Apartamento em Jardim Sabara,"Rua Comendador Miró, 2253 - Jardim Sabara",113804,37,1,1,0,Jardim Sabara,-25.044548709917827,-50.17008226184092
Apartamento em Neves,"Rua do Rosario, 2601 - Neves",107560,62,2,1,1,Neves,-25.043976940882988,-50.137468454917865
Apartamento em Orfãs,"Rua do Rosario, 2936 - Orfãs",368824,74,2,2,1,Orfãs,-25.066772111131925,-50.1672712750084
Apartamento em Contorno,"Rua Comendador Miró, 553 - Contorno",121475,54,2,1,1,Contorno,-25.123108679579985,-50.19978560935366
Apartamento em Estrela,"Rua Comendador Miró, 2618 - Estrela",177717,79,2,2,1,Estrela,-25.108391792450206,-50.15036121482332
Apartamento em Neves,"Rua Paula Xavier, 2313 - Neves",150675,47,1,1,0,Neves,-25.053959768133378,-50.14077099142887
Apartamento em Santa Paula,"Rua Comendador Miró, 2918 - Santa Paula",125314,59,2,1,1,Santa Paula,-25.131914906553025,-50.176018779968736
Apartamento em Vila Estrela,"Rua do Rosario, 1181 - Vila Estrela",378008,87,2,2,1,Vila Estrela,-25.107331993045666,-50.15264499136956
Apartamento em Vila Estrela,"Rua do Rosario, 446 - Vila Estrela",660116,81,2,2,1,Vila Estrela,-25.10837213265679,-50.14658875122446
Apartamento em Centro,"Rua Balduino Taques, 2755 - Centro",307911,69,2,1,1,Centro,-25.095272006488724,-50.16853029292415
Apartamento em Oficinas,"Av. Vicente Machado, 1183 - Oficinas",267384,63,3,1,1,Oficinas,-25.116030024758917,-50.145407741564604
Apartamento em Boa Vista,"Rua Balduino Taques, 2838 - Boa Vista",160420,81,3,2,1,Boa Vista,-25.05980648187055,-50.15434907730583
Apartamento em Contorno,"Rua do Rosario, 142 - Contorno",163605,45,1,1,0,Contorno,-25.12038994456844,-50.19993612678474
Apartamento em Chapada,"Rua Balduino Taques, 2533 - Chapada",73494,73,2,2,1,Chapada,-25.03961078870254,-50.16433054031363
Apartamento em Olarias,"Rua Comendador Miró, 2660 - Olarias",134708,69,2,1,1,Olarias,-25.101995718016525,-50.14084796824428
Apartamento em Olarias,"Rua do Rosario, 2861 - Olarias",65598,71,2,2,1,Olarias,-25.0969588817866,-50.138722239142496
Apartamento em Contorno,"Rua Balduino Taques, 1572 - Contorno",102581,67,2,1,1,Contorno,-25.122796905942074,-50.201396308184535
Apartamento em Jardim America,"Rua Comendador Miró, 1290 - Jardim America",102968,41,1,1,0,Jardim America,-25.101698252328227,-50.13506798931021
Apartamento em Olarias,"Rua Comendador Miró, 1039 - Olarias",145682,67,3,1,1,Olarias,-25.099675646121852,-50.139110162794616
Apartamento em Orfãs,"Av. Carlos Cavalcanti, 933 - Orfãs",284865,79,2,2,1,Orfãs,-25.07310531004146,-50.16804023694773
Apartamento em Chapada,"Rua do Rosario, 2481 - Chapada",138759,34,1,1,0,Chapada,-25.04118377600455,-50.16845306595241
Apartamento em Orfãs,"Av. Vicente Machado, 1214 - Orfãs",347970,68,2,1,1,Orfãs,-25.070459940264247,-50.17294620515568
Apartamento em Santo Antonio,"Rua Comendador Miró, 315 - Santo Antonio",64115,36,2,1,0,Santo Antonio,-25.06157983327914,-50.11992521516645
Apartamento em Estrela,"Rua Comendador Miró, 2114 - Estrela",288046,87,2,2,1,Estrela,-25.107886976828794,-50.150053211316944
Apartamento em Nova Russia,"Av. Carlos Cavalcanti, 1153 - Nova Russia",203826,85,2,2,1,Nova Russia,-25.0833189795509,-50.1718050768032
Apartamento em Olarias,"Av. Vicente Machado, 2402 - Olarias",72309,54,2,1,1,Olarias,-25.10037679637493,-50.14111927675878
Apartamento em Boa Vista,"Av. Carlos Cavalcanti, 2916 - Boa Vista",89885,60,3,1,1,Boa Vista,-25.063150653203344,-50.161448565642374
Apartamento em Jardim Carvalho,"Rua Paula Xavier, 2454 - Jardim Carvalho",481105,76,3,2,1,Jardim Carvalho,-25.070442767408625,-50.150307979373316
Apartamento em Oficinas,"Rua Comendador Miró, 2531 - Oficinas",62705,70,2,2,1,Oficinas,-25.111048356846553,-50.13782339901221
Apartamento em Contorno,"Rua do Rosario, 2263 - Contorno",173812,61,2,1,1,Contorno,-25.114940424727415,-50.20235057109031
Apartamento em Chapada,"Rua Comendador Miró, 1311 - Chapada",136056,39,2,1,0,Chapada,-25.038807136374057,-50.1679264597116
Apartamento em Jardim Sabara,"Av. Vicente Machado, 2142 - Jardim Sabara",237445,78,2,2,1,Jardim Sabara,-25.047888543535603,-50.17458774697905
Apartamento em Uvaranas,"Av. Vicente Machado, 1713 - Uvaranas",64627,60,2,1,1,Uvaranas,-25.088229119115653,-50.127305380640976
Apartamento em Olarias,"Rua Balduino Taques, 1441 - Olarias",111122,53,2,1,1,Olarias,-25.098392127943587,-50.14328204844848
Apartamento em Ronda,"Rua Comendador Miró, 1369 - Ronda",130572,47,1,1,0,Ronda,-25.1018539242146,-50.18064328766913
Apartamento em Neves,"Av. Vicente Machado, 2542 - Neves",107768,55,2,1,1,Neves,-25.054222688664417,-50.140437700379096
Apartamento em Jardim Sabara,"Rua do Rosario, 2669 - Jardim Sabara",63577,39,1,1,0,Jardim Sabara,-25.037816011342706,-50.173340715911266
Apartamento em Centro,"Rua Paula Xavier, 1835 - Centro",337067,56,3,1,1,Centro,-25.09395113068213,-50.16821164077834
Apartamento em Ronda,"Rua do Rosario, 2554 - Ronda",188049,62,2,1,1,Ronda,-25.09734924799339,-50.18227764332721
Apartamento em Ronda,"Rua Comendador Miró, 1324 - Ronda",49251,44,1,1,0,Ronda,-25.098080466099077,-50.184513402147765
Apartamento em Jardim America,"Rua Balduino Taques, 1590 - Jardim America",138211,40,1,1,0,Jardim America,-25.10542639596304,-50.13813328763026
Apartamento em Boa Vista,"Rua Paula Xavier, 111 - Boa Vista",131965,62,2,1,1,Boa Vista,-25.064860445407053,-50.16111709056499
Apartamento em Jardim Sabara,"Rua Paula Xavier, 2116 - Jardim Sabara",156335,50,2,1,1,Jardim Sabara,-25.046875448699545,-50.17632560861855
Apartamento em Jardim Sabara,"Rua Balduino Taques, 1224 - Jardim Sabara",167825,83,2,2,1,Jardim Sabara,-25.0402376486031,-50.17205479623082
Apartamento em Orfãs,"Rua Balduino Taques, 403 - Orfãs",466262,89,2,2,1,Orfãs,-25.069144922670137,-50.16973008484445
Apartamento em Estrela,"Rua do Rosario, 2194 - Estrela",186436,52,2,1,1,Estrela,-25.106190556930635,-50.1585668105052
Apartamento em Centro,"Av. Vicente Machado, 2755 - Centro",412976,110,3,2,2,Centro,-25.08737532370774,-50.16261792517601
Apartamento em Orfãs,"Av. Carlos Cavalcanti, 435 - Orfãs",395758,101,3,2,2,Orfãs,-25.070766905890483,-50.169092773899386
Apartamento em Orfãs,"Rua Comendador Miró, 1792 - Orfãs",174318,42,1,1,0,Orfãs,-25.067347881595893,-50.16869669450741
Apartamento em Uvaranas,"Av. Vicente Machado, 107 - Uvaranas",133662,40,1,1,0,Uvaranas,-25.08399609610186,-50.13270609880005
Apartamento em Santo Antonio,"Rua Balduino Taques, 368 - Santo Antonio",127183,58,2,1,1,Santo Antonio,-25.065307855050325,-50.12007423069712
Apartamento em Uvaranas,"Rua Paula Xavier, 2295 - Uvaranas",565321,138,4,3,2,Uvaranas,-25.086269950441032,-50.12912548755341
Apartamento em Uvaranas,"Av. Vicente Machado, 1069 - Uvaranas",152254,51,2,1,1,Uvaranas,-25.085324925630164,-50.13202151516067
