titulo,endereco,preco,area,quartos,banheiros,vagas,bairro
Apartamento em Santa Paula,"Av. Carlos Cavalcanti, 2687 - Santa Paula",109701,71,2,2,1,Santa Paula
Apartamento em Estrela,"Av. Carlos Cavalcanti, 653 - Estrela",243031,54,2,1,1,Estrela
Apartamento em Oficinas,"Av. Vicente Machado, 788 - Oficinas",298440,61,3,1,1,Oficinas
Apartamento em Vila Estrela,"Rua Comendador Miró, 2999 - Vila Estrela",537871,99,3,2,1,Vila Estrela
Apartamento em Olarias,"Rua Paula Xavier, 1228 - Olarias",165086,69,2,1,1,Olarias
Apartamento em Ronda,"Av. Carlos Cavalcanti, 2351 - Ronda",100313,32,2,1,0,Ronda
Apartamento em Olarias,"Av. Vicente Machado, 233 - Olarias",116934,33,1,1,0,Olarias
Apartamento em Chapada,"Rua Balduino Taques, 1216 - Chapada",252778,76,3,2,1,Chapada
Apartamento em Santa Paula,"Rua Balduino Taques, 857 - Santa Paula",78106,48,2,1,0,Santa Paula
Apartamento em Estrela,"Rua Balduino Taques, 1949 - Estrela",148446,62,2,1,1,Estrela
Apartamento em Nova Russia,"Av. Carlos Cavalcanti, 1938 - Nova Russia",153242,68,2,1,1,Nova Russia
Apartamento em Santa Paula,"Rua Paula Xavier, 383 - Santa Paula",290956,82,2,2,1,Santa Paula
Apartamento em Olarias,"Rua Paula Xavier, 1572 - Olarias",104563,51,2,1,1,Olarias
Apartamento em Chapada,"Rua Balduino Taques, 1088 - Chapada",48436,42,2,1,0,Chapada
Apartamento em Santo Antonio,"Av. Vicente Machado, 1110 - Santo Antonio",287925,88,2,2,1,Santo Antonio
Apartamento em Oficinas,"Rua Comendador Miró, 2743 - Oficinas",124610,55,3,1,1,Oficinas
Apartamento em Nova Russia,"Rua Paula Xavier, 2227 - Nova Russia",146253,59,3,1,1,Nova Russia
Apartamento em Vila Estrela,"Rua do Rosario, 941 - Vila Estrela",401273,106,3,2,2,Vila Estrela
Apartamento em Olarias,"Av. Carlos Cavalcanti, 2150 - Olarias",114530,54,3,1,1,Olarias
Apartamento em Vila Estrela,"Rua Comendador Miró, 1954 - Vila Estrela",523748,90,3,2,1,Vila Estrela
Apartamento em Ronda,"Rua Balduino Taques, 1627 - Ronda",111846,52,2,1,1,Ronda
Apartamento em Oficinas,"Rua do Rosario, 2350 - Oficinas",201286,59,2,1,1,Oficinas
Apartamento em Jardim Carvalho,"Av. Carlos Cavalcanti, 718 - Jardim Carvalho",784007,170,4,3,2,Jardim Carvalho
Apartamento em Estrela,"Av. Vicente Machado, 526 - Estrela",247716,61,2,1,1,Estrela
Apartamento em Oficinas,"Rua Comendador Miró, 1793 - Oficinas",251817,60,2,1,1,Oficinas
Apartamento em Orfãs,"Rua Comendador Miró, 615 - Orfãs",345811,74,2,2,1,Orfãs
Apartamento em Boa Vista,"Rua Comendador Miró, 284 - Boa Vista",149677,62,2,1,1,Boa Vista
Apartamento em Uvaranas,"Av. Carlos Cavalcanti, 2271 - Uvaranas",47245,38,1,1,0,Uvaranas
Apartamento em Neves,"Rua do Rosario, 1886 - Neves",86512,56,2,1,1,Neves
Apartamento em Centro,"Rua Balduino Taques, 1707 - Centro",1664131,219,6,6,4,Centro
Apartamento em Jardim Carvalho,"Rua do Rosario, 2396 - Jardim Carvalho",649321,109,4,2,2,Jardim Carvalho
Apartamento em Nova Russia,"Rua do Rosario, 423 - Nova Russia",48721,46,1,1,0,Nova Russia
Apartamento em Contorno,"Rua Paula Xavier, 1693 - Contorno",84139,45,1,1,0,Contorno
Apartamento em Boa Vista,"Av. Carlos Cavalcanti, 2353 - Boa Vista",111177,47,1,1,0,Boa Vista
Apartamento em Santa Paula,"Rua Paula Xavier, 1660 - Santa Paula",62326,68,3,1,1,Santa Paula
Apartamento em Jardim Carvalho,"Rua Comendador Miró, 2851 - Jardim Carvalho",335697,99,3,2,1,Jardim Carvalho
Apartamento em Jardim America,"Rua Paula Xavier, 2838 - Jardim America",170529,41,2,1,0,Jardim America
Apartamento em Ronda,"Av. Carlos Cavalcanti, 1110 - Ronda",23788,50,3,1,1,Ronda
Apartamento em Chapada,"Rua Paula Xavier, 1283 - Chapada",331315,98,4,2,1,Chapada
Apartamento em Boa Vista,"Rua Comendador Miró, 2815 - Boa Vista",95530,63,2,1,1,Boa Vista
Apartamento em Nova Russia,"Av. Vicente Machado, 560 - Nova Russia",110643,52,2,1,1,Nova Russia
Apartamento em Contorno,"Av. Carlos Cavalcanti, 1324 - Contorno",156926,34,1,1,0,Contorno
Apartamento em Boa Vista,"Rua do Rosario, 2654 - Boa Vista",167585,62,2,1,1,Boa Vista
Apartamento em Uvaranas,"Av. Vicente Machado, 1677 - Uvaranas",188643,56,3,1,1,Uvaranas
Apartamento em Santa Paula,"Rua Paula Xavier, 240 - Santa Paula",131829,48,1,1,0,Santa Paula
Apartamento em Jardim Sabara,"Rua Balduino Taques, 1284 - Jardim Sabara",133049,49,1,1,0,Jardim Sabara
Apartamento em Jardim Sabara,"Rua do Rosario, 2339 - Jardim Sabara",143868,48,1,1,0,Jardim Sabara
Apartamento em Centro,"Av. Vicente Machado, 246 - Centro",489777,88,3,2,1,Centro
Apartamento em Ronda,"Rua Balduino Taques, 1486 - Ronda",180244,53,3,1,1,Ronda
Apartamento em Orfãs,"Av. Carlos Cavalcanti, 2078 - Orfãs",167515,97,3,2,1,Orfãs
Apartamento em Jardim America,"Rua Balduino Taques, 2800 - Jardim America",78118,44,1,1,0,Jardim America
Apartamento em Centro,"Rua do Rosario, 1837 - Centro",636508,155,4,3,2,Centro
Apartamento em Estrela,"Rua Paula Xavier, 1420 - Estrela",231935,170,5,3,2,Estrela
Apartamento em Estrela,"Rua Paula Xavier, 2831 - Estrela",323480,71,2,2,1,Estrela
Apartamento em Uvaranas,"Av. Carlos Cavalcanti, 213 - Uvaranas",144909,59,2,1,1,Uvaranas
Apartamento em Estrela,"Av. Vicente Machado, 916 - Estrela",321689,80,2,2,1,Estrela
Apartamento em Ronda,"Rua Paula Xavier, 2678 - Ronda",164891,56,2,1,1,Ronda
Apartamento em Vila Estrela,"Rua Comendador Miró, 46 - Vila Estrela",395135,84,2,2,1,Vila Estrela
Apartamento em Santa Paula,"Rua Comendador Miró, 719 - Santa Paula",178149,76,2,2,1,Santa Paula
Apartamento em Centro,"Rua do Rosario, 1261 - Centro",176710,30,1,1,0,Centro
Apartamento em Boa Vista,"Av. Carlos Cavalcanti, 1438 - Boa Vista",172409,57,2,1,1,Boa Vista
Apartamento em Santo Antonio,"Av. Carlos Cavalcanti, 1247 - Santo Antonio",119281,48,1,1,0,Santo Antonio
Apartamento em Jardim Sabara,"Av. Carlos Cavalcanti, 2404 - Jardim Sabara",244748,72,2,2,1,Jardim Sabara
Apartamento em Nova Russia,"Rua Comendador Miró, 1542 - Nova Russia",114783,61,3,1,1,Nova Russia
Apartamento em Olarias,"Rua do Rosario, 1167 - Olarias",62016,36,1,1,0,Olarias
Apartamento em Contorno,"Av. Carlos Cavalcanti, 271 - Contorno",139903,70,2,2,1,Contorno
Apartamento em Neves,"Rua Comendador Miró, 1341 - Neves",205537,63,2,1,1,Neves
Apartamento em Boa Vista,"Rua Comendador Miró, 2678 - Boa Vista",194044,63,2,1,1,Boa Vista
Apartamento em Contorno,"Rua do Rosario, 994 - Contorno",123182,62,3,1,1,Contorno
Apartamento em Oficinas,"Rua do Rosario, 1665 - Oficinas",356933,83,2,2,1,Oficinas
Apartamento em Neves,"Rua Comendador Miró, 114 - Neves",231225,67,2,1,1,Neves
Apartamento em Santa Paula,"Rua Paula Xavier, 1724 - Santa Paula",208586,75,2,2,1,Santa Paula
Apartamento em Jardim America,"Rua Balduino Taques, 2398 - Jardim America",101630,41,1,1,0,Jardim America
Apartamento em Orfãs,"Rua Comendador Miró, 920 - Orfãs",176857,53,2,1,1,Orfãs
Apartamento em Olarias,"Av. Carlos Cavalcanti, 2761 - Olarias",101912,52,2,1,1,Olarias
Apartamento em Chapada,"Av. Vicente Machado, 2703 - Chapada",91437,49,1,1,0,Chapada
Apartamento em Olarias,"Rua Balduino Taques, 1938 - Olarias",57136,58,3,1,1,Olarias
Apartamento em Jardim Carvalho,"Rua Comendador Miró, 2299 - Jardim Carvalho",320115,64,2,1,1,Jardim Carvalho
Apartamento em Estrela,"Rua Paula Xavier, 2690 - Estrela",366013,88,2,2,1,Estrela
Apartamento em Uvaranas,"Av. Vicente Machado, 1267 - Uvaranas",52199,43,1,1,0,Uvaranas
Apartamento em Vila Estrela,"Rua Paula Xavier, 1532 - Vila Estrela",234623,61,2,1,1,Vila Estrela
Apartamento em Boa Vista,"Av. Carlos Cavalcanti, 492 - Boa Vista",161342,51,2,1,1,Boa Vista
Apartamento em Santa Paula,"Rua Comendador Miró, 2400 - Santa Paula",68651,30,2,1,0,Santa Paula
Apartamento em Uvaranas,"Av. Vicente Machado, 2059 - Uvaranas",111308,37,1,1,0,Uvaranas
Apartamento em Nova Russia,"Av. Carlos Cavalcanti, 2180 - Nova Russia",150328,59,2,1,1,Nova Russia
Apartamento em Contorno,"Av. Vicente Machado, 572 - Contorno",129186,36,1,1,0,Contorno
Apartamento em Orfãs,"Rua do Rosario, 1884 - Orfãs",33634,70,2,2,1,Orfãs
Apartamento em Jardim Carvalho,"Rua Comendador Miró, 748 - Jardim Carvalho",1132012,147,3,3,2,Jardim Carvalho
Apartamento em Uvaranas,"Rua Comendador Miró, 734 - Uvaranas",125383,47,1,1,0,Uvaranas
Apartamento em Neves,"Rua Balduino Taques, 1861 - Neves",125827,40,1,1,0,Neves
Apartamento em Boa Vista,"Av. Vicente Machado, 2370 - Boa Vista",181508,63,2,1,1,Boa Vista
Apartamento em Estrela,"Rua Balduino Taques, 540 - Estrela",693151,152,5,3,2,Estrela
Apartamento em Vila Estrela,"Av. Carlos Cavalcanti, 1767 - Vila Estrela",407969,73,2,2,1,Vila Estrela
Apartamento em Santa Paula,"Rua Balduino Taques, 2196 - Santa Paula",79345,32,1,1,0,Santa Paula
Apartamento em Orfãs,"Rua Balduino Taques, 1329 - Orfãs",162706,58,2,1,1,Orfãs
Apartamento em Jardim Sabara,"Rua Comendador Miró, 26 - Jardim Sabara",118601,57,3,1,1,Jardim Sabara
Apartamento em Ronda,"Rua Paula Xavier, 1288 - Ronda",139996,76,2,2,1,Ronda
Apartamento em Jardim Carvalho,"Rua do Rosario, 2421 - Jardim Carvalho",445027,89,3,2,1,Jardim Carvalho
Apartamento em Contorno,"Rua Balduino Taques, 1231 - Contorno",127548,57,3,1,1,Contorno
Apartamento em Contorno,"Rua do Rosario, 2452 - Contorno",132723,42,1,1,0,Contorno
Apartamento em Jardim Sabara,"Rua Comendador Miró, 558 - Jardim Sabara",96701,49,1,1,0,Jardim Sabara
Apartamento em Neves,"Av. Carlos Cavalcanti, 1481 - Neves",59778,42,1,1,0,Neves
Apartamento em Orfãs,"Av. Carlos Cavalcanti, 88 - Orfãs",260045,86,3,2,1,Orfãs
Apartamento em Ronda,"Av. Vicente Machado, 875 - Ronda",154472,57,2,1,1,Ronda
Apartamento em Centro,"Av. Vicente Machado, 514 - Centro",533489,85,2,2,1,Centro
Apartamento em Chapada,"Rua Balduino Taques, 1546 - Chapada",146243,52,2,1,1,Chapada
Apartamento em Boa Vista,"Rua do Rosario, 209 - Boa Vista",122053,45,1,1,0,Boa Vista
Apartamento em Oficinas,"Rua Comendador Miró, 90 - Oficinas",67915,64,2,1,1,Oficinas
Apartamento em Oficinas,"Av. Carlos Cavalcanti, 1829 - Oficinas",433201,88,2,2,1,Oficinas
Apartamento em Jardim America,"Rua Paula Xavier, 1953 - Jardim America",258513,79,3,2,1,Jardim America
Apartamento em Jardim Carvalho,"Rua Comendador Miró, 2591 - Jardim Carvalho",497899,97,3,2,1,Jardim Carvalho
Apartamento em Centro,"Rua Comendador Miró, 423 - Centro",321808,79,2,2,1,Centro
Apartamento em Jardim Sabara,"Rua do Rosario, 2880 - Jardim Sabara",233424,78,2,2,1,Jardim Sabara
Apartamento em Jardim Carvalho,"Rua Balduino Taques, 2105 - Jardim Carvalho",359312,75,2,2,1,Jardim Carvalho
Apartamento em Nova Russia,"Rua Balduino Taques, 2048 - Nova Russia",162527,65,2,1,1,Nova Russia
Apartamento em Orfãs,"Rua Paula Xavier, 2152 - Orfãs",67852,33,1,1,0,Orfãs
Apartamento em Orfãs,"Av. Carlos Cavalcanti, 1219 - Orfãs",135675,46,1,1,0,Orfãs
Apartamento em Estrela,"Av. Carlos Cavalcanti, 860 - Estrela",188487,63,3,1,1,Estrela
Apartamento em Santa Paula,"Rua Balduino Taques, 62 - Santa Paula",179541,84,2,2,1,Santa Paula
Apartamento em Uvaranas,"Rua do Rosario, 2750 - Uvaranas",162922,59,2,1,1,Uvaranas
Apartamento em Santa Paula,"Rua Balduino Taques, 2105 - Santa Paula",113915,38,2,1,0,Santa Paula
Apartamento em Uvaranas,"Rua Balduino Taques, 1058 - Uvaranas",176558,53,2,1,1,Uvaranas
Apartamento em Ronda,"Rua Paula Xavier, 1091 - Ronda",118418,39,1,1,0,Ronda
Apartamento em Santo Antonio,"Av. Vicente Machado, 171 - Santo Antonio",86732,69,3,1,1,Santo Antonio
Apartamento em Contorno,"Rua Comendador Miró, 1290 - Contorno",114846,41,1,1,0,Contorno
Apartamento em Vila Estrela,"Rua Balduino Taques, 197 - Vila Estrela",521066,141,3,3,2,Vila Estrela
Apartamento em Centro,"Av. Vicente Machado, 1356 - Centro",556347,173,4,3,2,Centro
Apartamento em Chapada,"Rua do Rosario, 1108 - Chapada",117447,66,2,1,1,Chapada
Apartamento em Uvaranas,"Rua Paula Xavier, 759 - Uvaranas",145411,65,2,1,1,Uvaranas
Apartamento em Nova Russia,"Av. Carlos Cavalcanti, 1123 - Nova Russia",105300,51,2,1,1,Nova Russia
Apartamento em Jardim America,"Av. Carlos Cavalcanti, 1737 - Jardim America",101309,40,1,1,0,Jardim America
Apartamento em Estrela,"Rua Comendador Miró, 2985 - Estrela",241726,57,3,1,1,Estrela
Apartamento em Oficinas,"Av. Vicente Machado, 434 - Oficinas",160298,49,1,1,0,Oficinas
Apartamento em Vila Estrela,"Av. Carlos Cavalcanti, 2340 - Vila Estrela",95989,83,2,2,1,Vila Estrela
Apartamento em Santo Antonio,"Av. Carlos Cavalcanti, 1478 - Santo Antonio",305676,69,3,1,1,Santo Antonio
Apartamento em Centro,"Rua Comendador Miró, 545 - Centro",402659,81,2,2,1,Centro
Apartamento em Santa Paula,"Rua Balduino Taques, 1694 - Santa Paula",161150,64,2,1,1,Santa Paula
Apartamento em Santo Antonio,"Rua Paula Xavier, 2692 - Santo Antonio",118206,76,3,2,1,Santo Antonio
Apartamento em Neves,"Rua Comendador Miró, 2159 - Neves",205844,67,3,1,1,Neves
Apartamento em Ronda,"Rua Comendador Miró, 1395 - Ronda",153942,54,2,1,1,Ronda
Apartamento em Jardim Sabara,"Rua Comendador Miró, 2542 - Jardim Sabara",197488,65,2,1,1,Jardim Sabara
Apartamento em Nova Russia,"Rua Comendador Miró, 1028 - Nova Russia",99754,45,1,1,0,Nova Russia
Apartamento em Santa Paula,"Rua Comendador Miró, 2637 - Santa Paula",222007,86,2,2,1,Santa Paula
Apartamento em Jardim America,"Rua do Rosario, 2520 - Jardim America",52805,35,2,1,0,Jardim America
Apartamento em Oficinas,"Av. Vicente Machado, 2080 - Oficinas",245538,67,3,1,1,Oficinas
Apartamento em Santa Paula,"Av. Vicente Machado, 316 - Santa Paula",153043,58,2,1,1,Santa Paula
Apartamento em Santa Paula,"Rua Paula Xavier, 1149 - Santa Paula",197322,85,2,2,1,Santa Paula
Apartamento em Oficinas,"Rua do Rosario, 2645 - Oficinas",98752,52,2,1,1,Oficinas
Apartamento em Jardim America,"Av. Vicente Machado, 332 - Jardim America",79774,33,1,1,0,Jardim America
Apartamento em Santo Antonio,"Rua do Rosario, 1845 - Santo Antonio",209979,89,2,2,1,Santo Antonio
Apartamento em Uvaranas,"Av. Carlos Cavalcanti, 1304 - Uvaranas",145969,58,2,1,1,Uvaranas
Apartamento em Nova Russia,"Rua Comendador Miró, 2686 - Nova Russia",67134,45,1,1,0,Nova Russia
Apartamento em Centro,"Av. Carlos Cavalcanti, 156 - Centro",350539,79,3,2,1,Centro
Apartamento em Olarias,"Rua Balduino Taques, 2484 - Olarias",225620,64,2,1,1,Olarias
Apartamento em Contorno,"Rua do Rosario, 857 - Contorno",93428,58,2,1,1,Contorno
Apartamento em Santo Antonio,"Rua Paula Xavier, 232 - Santo Antonio",220291,76,2,2,1,Santo Antonio
Apartamento em Ronda,"Rua Paula Xavier, 2304 - Ronda",150577,40,1,1,0,Ronda
Apartamento em Santa Paula,"Rua Paula Xavier, 2942 - Santa Paula",68498,37,1,1,0,Santa Paula
Apartamento em Santo Antonio,"Rua Comendador Miró, 918 - Santo Antonio",143392,62,3,1,1,Santo Antonio
Apartamento em Centro,"Rua Comendador Miró, 1205 - Centro",563847,87,2,2,1,Centro
Apartamento em Olarias,"Rua Comendador Miró, 445 - Olarias",127914,57,2,1,1,Olarias
Apartamento em Oficinas,"Av. Carlos Cavalcanti, 585 - Oficinas",330442,124,3,3,2,Oficinas
Apartamento em Vila Estrela,"Rua do Rosario, 812 - Vila Estrela",248496,96,4,2,1,Vila Estrela
Apartamento em Orfãs,"Av. Carlos Cavalcanti, 893 - Orfãs",364558,66,3,1,1,Orfãs
Apartamento em Santo Antonio,"Av. Vicente Machado, 2945 - Santo Antonio",115050,49,1,1,0,Santo Antonio
Apartamento em Neves,"Av. Carlos Cavalcanti, 200 - Neves",193166,82,3,2,1,Neves
Apartamento em Nova Russia,"Av. Carlos Cavalcanti, 1883 - Nova Russia",62823,86,2,2,1,Nova Russia
Apartamento em Jardim Sabara,"Av. Carlos Cavalcanti, 27 - Jardim Sabara",68041,50,3,1,1,Jardim Sabara
Apartamento em Jardim Sabara,"Rua do Rosario, 1782 - Jardim Sabara",140179,65,2,1,1,Jardim Sabara
Apartamento em Santa Paula,"Av. Vicente Machado, 2843 - Santa Paula",75733,62,2,1,1,Santa Paula
Apartamento em Estrela,"Av. Vicente Machado, 434 - Estrela",243069,44,1,1,0,Estrela
Apartamento em Jardim America,"Rua do Rosario, 1328 - Jardim America",116677,44,1,1,0,Jardim America
Apartamento em Jardim Sabara,"Av. Carlos Cavalcanti, 2504 - Jardim Sabara",153398,54,2,1,1,Jardim Sabara
Apartamento em Ronda,"Rua Paula Xavier, 1214 - Ronda",125169,63,2,1,1,Ronda
Apartamento em Santo Antonio,"Av. Vicente Machado, 1700 - Santo Antonio",201117,51,2,1,1,Santo Antonio
Apartamento em Jardim Sabara,"Rua Comendador Miró, 2253 - Jardim Sabara",113804,37,1,1,0,Jardim Sabara
Apartamento em Neves,"Rua do Rosario, 2601 - Neves",107560,62,2,1,1,Neves
Apartamento em Orfãs,"Rua do Rosario, 2936 - Orfãs",368824,74,2,2,1,Orfãs
Apartamento em Contorno,"Rua Comendador Miró, 553 - Contorno",121475,54,2,1,1,Contorno
Apartamento em Estrela,"Rua Comendador Miró, 2618 - Estrela",177717,79,2,2,1,Estrela
Apartamento em Neves,"Rua Paula Xavier, 2313 - Neves",150675,47,1,1,0,Neves
Apartamento em Santa Paula,"Rua Comendador Miró, 2918 - Santa Paula",125314,59,2,1,1,Santa Paula
Apartamento em Vila Estrela,"Rua do Rosario, 1181 - Vila Estrela",378008,87,2,2,1,Vila Estrela
Apartamento em Vila Estrela,"Rua do Rosario, 446 - Vila Estrela",660116,81,2,2,1,Vila Estrela
Apartamento em Centro,"Rua Balduino Taques, 2755 - Centro",307911,69,2,1,1,Centro
Apartamento em Oficinas,"Av. Vicente Machado, 1183 - Oficinas",267384,63,3,1,1,Oficinas
Apartamento em Boa Vista,"Rua Balduino Taques, 2838 - Boa Vista",160420,81,3,2,1,Boa Vista
Apartamento em Contorno,"Rua do Rosario, 142 - Contorno",163605,45,1,1,0,Contorno
Apartamento em Chapada,"Rua Balduino Taques, 2533 - Chapada",73494,73,2,2,1,Chapada
Apartamento em Olarias,"Rua Comendador Miró, 2660 - Olarias",134708,69,2,1,1,Olarias
Apartamento em Olarias,"Rua do Rosario, 2861 - Olarias",65598,71,2,2,1,Olarias
Apartamento em Contorno,"Rua Balduino Taques, 1572 - Contorno",102581,67,2,1,1,Contorno
Apartamento em Jardim America,"Rua Comendador Miró, 1290 - Jardim America",102968,41,1,1,0,Jardim America
Apartamento em Olarias,"Rua Comendador Miró, 1039 - Olarias",145682,67,3,1,1,Olarias
Apartamento em Orfãs,"Av. Carlos Cavalcanti, 933 - Orfãs",284865,79,2,2,1,Orfãs
Apartamento em Chapada,"Rua do Rosario, 2481 - Chapada",138759,34,1,1,0,Chapada
Apartamento em Orfãs,"Av. Vicente Machado, 1214 - Orfãs",347970,68,2,1,1,Orfãs
Apartamento em Santo Antonio,"Rua Comendador Miró, 315 - Santo Antonio",64115,36,2,1,0,Santo Antonio
Apartamento em Estrela,"Rua Comendador Miró, 2114 - Estrela",288046,87,2,2,1,Estrela
Apartamento em Nova Russia,"Av. Carlos Cavalcanti, 1153 - Nova Russia",203826,85,2,2,1,Nova Russia
Apartamento em Olarias,"Av. Vicente Machado, 2402 - Olarias",72309,54,2,1,1,Olarias
Apartamento em Boa Vista,"Av. Carlos Cavalcanti, 2916 - Boa Vista",89885,60,3,1,1,Boa Vista
Apartamento em Jardim Carvalho,"Rua Paula Xavier, 2454 - Jardim Carvalho",481105,76,3,2,1,Jardim Carvalho
Apartamento em Oficinas,"Rua Comendador Miró, 2531 - Oficinas",62705,70,2,2,1,Oficinas
Apartamento em Contorno,"Rua do Rosario, 2263 - Contorno",173812,61,2,1,1,Contorno
Apartamento em Chapada,"Rua Comendador Miró, 1311 - Chapada",136056,39,2,1,0,Chapada
Apartamento em Jardim Sabara,"Av. Vicente Machado, 2142 - Jardim Sabara",237445,78,2,2,1,Jardim Sabara
Apartamento em Uvaranas,"Av. Vicente Machado, 1713 - Uvaranas",64627,60,2,1,1,Uvaranas
Apartamento em Olarias,"Rua Balduino Taques, 1441 - Olarias",111122,53,2,1,1,Olarias
Apartamento em Ronda,"Rua Comendador Miró, 1369 - Ronda",130572,47,1,1,0,Ronda
Apartamento em Neves,"Av. Vicente Machado, 2542 - Neves",107768,55,2,1,1,Neves
Apartamento em Jardim Sabara,"Rua do Rosario, 2669 - Jardim Sabara",63577,39,1,1,0,Jardim Sabara
Apartamento em Centro,"Rua Paula Xavier, 1835 - Centro",337067,56,3,1,1,Centro
Apartamento em Ronda,"Rua do Rosario, 2554 - Ronda",188049,62,2,1,1,Ronda
Apartamento em Ronda,"Rua Comendador Miró, 1324 - Ronda",49251,44,1,1,0,Ronda
Apartamento em Jardim America,"Rua Balduino Taques, 1590 - Jardim America",138211,40,1,1,0,Jardim America
Apartamento em Boa Vista,"Rua Paula Xavier, 111 - Boa Vista",131965,62,2,1,1,Boa Vista
Apartamento em Jardim Sabara,"Rua Paula Xavier, 2116 - Jardim Sabara",156335,50,2,1,1,Jardim Sabara
Apartamento em Jardim Sabara,"Rua Balduino Taques, 1224 - Jardim Sabara",167825,83,2,2,1,Jardim Sabara
Apartamento em Orfãs,"Rua Balduino Taques, 403 - Orfãs",466262,89,2,2,1,Orfãs
Apartamento em Estrela,"Rua do Rosario, 2194 - Estrela",186436,52,2,1,1,Estrela
Apartamento em Centro,"Av. Vicente Machado, 2755 - Centro",412976,110,3,2,2,Centro
Apartamento em Orfãs,"Av. Carlos Cavalcanti, 435 - Orfãs",395758,101,3,2,2,Orfãs
Apartamento em Orfãs,"Rua Comendador Miró, 1792 - Orfãs",174318,42,1,1,0,Orfãs
Apartamento em Uvaranas,"Av. Vicente Machado, 107 - Uvaranas",133662,40,1,1,0,Uvaranas
Apartamento em Santo Antonio,"Rua Balduino Taques, 368 - Santo Antonio",127183,58,2,1,1,Santo Antonio
Apartamento em Uvaranas,"Rua Paula Xavier, 2295 - Uvaranas",565321,138,4,3,2,Uvaranas
Apartamento em Uvaranas,"Av. Vicente Machado, 1069 - Uvaranas",152254,51,2,1,1,Uvaranas
Apartamento em Vila Estrela,"Rua Comendador Miró, 1666 - Vila Estrela",742625,128,3,3,2,Vila Estrela
Apartamento em Vila Estrela,"Rua Comendador Miró, 494 - Vila Estrela",831495,184,6,3,2,Vila Estrela
Apartamento em Olarias,"Rua Comendador Miró, 2542 - Olarias",169095,63,3,1,1,Olarias
Apartamento em Uvaranas,"Rua do Rosario, 196 - Uvaranas",184997,61,2,1,1,Uvaranas
Apartamento em Uvaranas,"Rua do Rosario, 444 - Uvaranas",142701,45,1,1,0,Uvaranas
Apartamento em Contorno,"Rua Paula Xavier, 2494 - Contorno",80080,39,1,1,0,Contorno
Apartamento em Uvaranas,"Av. Carlos Cavalcanti, 1572 - Uvaranas",193908,68,2,1,1,Uvaranas
Apartamento em Jardim America,"Rua Balduino Taques, 1951 - Jardim America",257959,90,3,2,1,Jardim America
Apartamento em Estrela,"Av. Vicente Machado, 1611 - Estrela",283046,81,2,2,1,Estrela
Apartamento em Olarias,"Rua Comendador Miró, 600 - Olarias",78078,48,1,1,0,Olarias
Apartamento em Contorno,"Rua Comendador Miró, 2663 - Contorno",213950,70,2,2,1,Contorno
Apartamento em Chapada,"Rua Balduino Taques, 2277 - Chapada",120035,53,2,1,1,Chapada
Apartamento em Olarias,"Rua Balduino Taques, 30 - Olarias",62999,49,2,1,0,Olarias
Apartamento em Jardim America,"Rua Balduino Taques, 1258 - Jardim America",205587,64,2,1,1,Jardim America
Apartamento em Orfãs,"Rua Comendador Miró, 1418 - Orfãs",268044,67,2,1,1,Orfãs
Apartamento em Orfãs,"Rua Comendador Miró, 2109 - Orfãs",189381,54,2,1,1,Orfãs
Apartamento em Jardim Carvalho,"Av. Vicente Machado, 2536 - Jardim Carvalho",641113,106,4,2,2,Jardim Carvalho
Apartamento em Boa Vista,"Av. Vicente Machado, 2758 - Boa Vista",133106,46,2,1,0,Boa Vista
Apartamento em Oficinas,"Rua do Rosario, 1899 - Oficinas",123892,92,3,2,1,Oficinas
Apartamento em Olarias,"Rua Comendador Miró, 285 - Olarias",88911,42,2,1,0,Olarias
Apartamento em Boa Vista,"Rua Comendador Miró, 2388 - Boa Vista",146629,48,2,1,0,Boa Vista
Apartamento em Santa Paula,"Rua Paula Xavier, 535 - Santa Paula",217616,65,2,1,1,Santa Paula
Apartamento em Ronda,"Rua do Rosario, 295 - Ronda",109686,36,2,1,0,Ronda
Apartamento em Orfãs,"Av. Carlos Cavalcanti, 1354 - Orfãs",339259,72,2,2,1,Orfãs
Apartamento em Contorno,"Av. Vicente Machado, 2326 - Contorno",123456,56,2,1,1,Contorno
Apartamento em Chapada,"Av. Carlos Cavalcanti, 700 - Chapada",65819,61,2,1,1,Chapada
Apartamento em Centro,"Av. Vicente Machado, 2927 - Centro",179709,52,2,1,1,Centro
Apartamento em Vila Estrela,"Rua Paula Xavier, 560 - Vila Estrela",380304,140,3,3,2,Vila Estrela
Apartamento em Neves,"Av. Carlos Cavalcanti, 1834 - Neves",171706,86,2,2,1,Neves
Apartamento em Chapada,"Av. Carlos Cavalcanti, 2269 - Chapada",66283,32,1,1,0,Chapada
Apartamento em Nova Russia,"Rua do Rosario, 345 - Nova Russia",126935,79,3,2,1,Nova Russia
Apartamento em Boa Vista,"Av. Vicente Machado, 2216 - Boa Vista",109262,46,1,1,0,Boa Vista
Apartamento em Orfãs,"Rua Comendador Miró, 323 - Orfãs",281821,77,2,2,1,Orfãs
Apartamento em Uvaranas,"Rua do Rosario, 2597 - Uvaranas",285089,84,2,2,1,Uvaranas
Apartamento em Centro,"Rua do Rosario, 1669 - Centro",231938,52,2,1,1,Centro
Apartamento em Orfãs,"Rua do Rosario, 1077 - Orfãs",222230,72,2,2,1,Orfãs
